post,sentiment
Still need 10% dp??havent sold out?? Selling price went up?,0
Does anyone know the show unit for EV3 is open to public or not? Or still via appointment?,1
"Via appointment, all you need is jut call your SA that you going to view the show room",1
is the fence between the iwk?,1
"Hi tzuen,Tq for great sharing. Fencing just between ev3 housing area and temple or the whole ev3 housing area?",1
"Yeap, saw that as well, did you went in?I were there around 9.30AM. Unfortunately the showroom is lock and there isn't any security guards or person in charge for the showroom.",0
"Agreed, should build the commercial at the same time to attract more buyer. Some people do consider nearby amenities as well.",0
"Sorry, was referring to E&O's Elmina.",1
Which EV are you looking at? Last i saw my row EV3 still got plenty of units.. maybe sold out after CNY promo,1
I wonder wtf is a monthly 5k buyer worrying about paying loan. some guru is really out of touch.,0
"if you prefer elmina, subsale or the march batch (elmina green or denai alam) will be your only choice.",0
why i still not received surat cukai tanah for elmina valley 2?,0
https://www.simedarbyproperty.com/city-of-elmina,1
I was there at the sales gallery coz my parents wanted to see the show unit. Still got few more left. I did not asked how much but CNY promo still there... can pm me for referal fee ðŸ˜¬,1
"hey guys,I want to sell my EV phase 1 at price RM650K, my unit is good location. key will collect by next week.Please let me know if you interested to view the house. TQVM",1
"I passed by elmina, seems like exisitng taman without fencing.Y developer don't build it?The guarded facilities is not there",0
"I passed by elmina, the existing taman without fencing.Y the developer don't build it?The guarded facilities is not there",0
took one year plus for my phase to achieve 75%.... thats also luckily because alot of own stayers... if there are more investors in a phase... good luck and god bless liao....,0
"once elmina green connect to elmina valley, no more cramp but i'm doubt it's only open after EG VP.basically free 1 toll, so it's will be another pack road and predict the same jam effect to persiaran E1/1 (main road for saujana utama & hill park)",1
Curious about the prices of Ferrea & Liana,1
As SA told earlier EV3 whole area will come with fence and guarded. All EV3 buyers signed the security agreement for that if I'm not mistaken.,1
"if you confident with rimbayu, you wont even call it as bukit.for the same price of similar house, elmina will be better for myself.",0
"Before i decided to buy EV, i was considering bukit rimbayu too.these are few factors that i comparing these 2:- i work at PJ, so EV is nearer to me- EV is freehold, rimbayu is leasehold- for the same size/built up property, EV is cheaper (before considering any rebates)- even thought EV is difficult to get chinese foods, but not a big deal to me as i surely will have my dinner at PJ then only go home to EV- chinese schools, not a problem to me, as no children (but last yr government approved a chinese school to swift to elmina) '- environment: i buy for own stay, not investment, to me EV is more comfortable, as more ""forest""future development, not really a big concern to me. but still very excited about elmina city center.** these are just my own thoughts **",0
well... looking at SDB.... the best elmina can be flourished will be time taken for AD to flourish... lol.... anyhow... alot of things one cannot predict accurately... look at what that guy want right now better... lol,
"Bro, there is one malay cemetery reserve land in EG, i saw in the elmina master plan, if you plan to buy there, choice the house carefully...",0
any EV1 owner here? any updates on key collection?,1
I did learn a lesson owning a leasehold property before. So difficult to let go 30 years old property in the subsale market even the location is good.,0
mana dapat news? gt so many like rawang or cyberjaya or not?,1
"Been to one of the sub-sales units before, and these units facing east and west. The living room is kinda warm in the morning, and kitchen is hot in the noon. Unless you plan for 24/7 aircond.",0
Very cheap can sapu ðŸ˜ðŸ˜‰,1
"This unit is on the 2nd re-auction. First auction at 860k. First auction usually is at market valuation. But in today soft/slow market, certainly you can get cheaper price than first auction price in subsale.Will drop 10% each round until it solds.And to your statement 100k increase it is not logical. Bidder also smart. If subsale selling at 870k, nobody will bid until reaching subsale pricing.All other cost will be the same as buying from subsale. Valuation fees, legal fees and stamp duty.",1
This unit is brand new ? When VP ?,1
wow...thats good...welcoming owners...some more they are the first tenant in EV....so next EV2 people....i think EV1 and EV2 is one month gap..,1
Elmina Gardens (Aralia&Clusia) has their own WA group.,1
"I think got TM / Unifi, but no maxis or TIME, means no IPTV service available, that quite bad for TN50 vision city. So just wondering any owners raise this concern to SDP before.",0
Commercial area,1
Wow... free folding bike? Interesting... did they tell you guys will get that before buying?,1
this will be a good indication of the population there and the occupancy rate as well... if an area have low occupancy rate... no tenant wanna go in to do business for a small population....,1
.... edited,1
"not officially,i went last weekend no guard / block and can go up to EV3/EV4 roundabout",1
I got EV2 VP letter already....is there any ceremony as EV1? hehe,1
which phase that you referring to? If not mistaken there's few EV1 subsale units available for sale.,1
"hi guys, I know I am totally out of topic here, but I find the name Elmina to be very beautiful. Bandar Elmina = beautiful name..",1
Quality is considerably goodLighting switch are at a low heightWooden stair floor that is evenWindy areaNo airplane flight path ive heard yetThere r mirrorsGot 1 man there looking to build a show room for rm35kEv2 type B sample photos,1
You can find tons of info here : https://forum.lowyat.net/HomeRenovationsandInteriorDesign,1
so fast get the key? my financial not yet clear the outstanding,1
Anyone have EV3 Type C Intermediate ID design?Can sharing with me?,1
"EV2 got free alarm,It stated in the brochure if I remember correctly",1
